"form_id","extraction_time","reviewer","trial_id","publication_found","publication_url","publication_doi","identification_step","publication_type","publication_pmid","typo_primary_id","publication_date","match_design","match_indication_population","match_intervention","match_comparator","match_any_outcome","n_matching_criteria","registry","start_date_recoded","completion_date_recoded","warning_cd_to_publication","warning_start_to_publication","n_match_agree","article_found_by","article_agreement_information"
"F24",2022-12-06 19:42:08,"Maximilian_S","NCT01625026","Yes","https://doi.org/10.1016/j.jhep.2019.06.011","10.1016/j.jhep.2019.06.011","Linked at the registration","Journal publication",31254596,"NCT ID",2019-06-27,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2013-09-30","2016-04-30",NA,NA,"5; 0","Maximilian_S; Till_B","Found by 2/2 reviewers, near-match vs. full match"
"F25",2022-12-06 19:49:40,"Maximilian_S","NCT02708979","Yes","https://www.tandfonline.com/doi/full/10.1080/10253890.2018.1494149","10.1080/10253890.2018.1494149","Systematic Google search","Journal publication",30388041,"NCT ID",2018-11-01,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2016-02-29","2016-08-31",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F26",2022-12-06 23:50:12,"Eero_R","NCT01956136","Yes","https://doi.org/10.3390/jcm11082184","10.3390/jcm11082184","Linked at the registration","Journal publication",35456277,"NCT ID",2022-04-14,"Yes","Yes","Yes","Yes","No",4,"ctgov","2014-03-31","2018-12-31",NA,NA,"4; 5","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match"
"F27",2022-12-06 23:59:19,"Eero_R","NCT01956136","Yes","https://doi.org/10.1155/2021/6682471","10.1155/2021/6682471","Systematic Google search","Journal publication",33763126,"NCT ID",2021-03-08,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2014-03-31","2018-12-31",NA,NA,"5; 4","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match"
"F28",2022-12-07 00:03:38,"Eero_R","NCT01956136","Yes","https://doi.org/10.1089/neu.2019.6413","10.1089/neu.2019.6413","Systematic Google search","Journal publication",31642408,"NCT ID",2019-12-05,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2014-03-31","2018-12-31",NA,NA,"5; 4","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match"
"F29",2022-12-07 00:10:08,"Eero_R","NCT03439787","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2018-05-15","2018-08-23",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F30",2022-12-07 00:18:25,"Eero_R","NCT01021774","Yes","https://doi.org/10.1002/bjs.10549","10.1002/bjs.10549","Linked at the registration","Journal publication",28489253,"NCT ID",2017-05-10,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2009-11-30","2016-06-30",NA,NA,"5; 4","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match"
"F31",2022-12-07 00:28:03,"Eero_R","NCT02216149","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2015-01-31","2018-08-31",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F32",2022-12-07 00:40:19,"Eero_R","NCT03096535","Yes","https://doi.org/10.1016/j.xcrm.2021.100408","10.1016/j.xcrm.2021.100408","Linked at the registration","Journal publication",34755128,"NCT ID",2021-10-11,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2017-04-02","2018-03-01",NA,NA,"5","Eero_R","Found by 1/2 reviewers, matching all 5 criteria"
"F33",2022-12-07 00:55:52,"Eero_R","NCT01604369","Yes","https://doi.org/10.1080/00015385.2020.1721717","10.1080/00015385.2020.1721717","Systematic Google search","Journal publication",32208915,"NCT ID",2020-03-25,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2012-06-30","2016-06-30",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria"
"F34",2022-12-07 01:05:52,"Eero_R","NCT03290053","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-11-28","2018-04-18",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F35",2022-12-07 01:13:03,"Eero_R","NCT01727245","Yes","https://doi.org/10.1093/ajh/hpx201","10.1093/ajh/hpx201","Linked at the registration","Journal publication",29177471,"NCT ID",2018-03-10,"Yes","Yes","Yes","No","Yes",4,"ctgov","2011-11-30","2019-12-31","Publication date before completion date",NA,"4","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. ineligible match"
"F36",2022-12-07 01:30:48,"Eero_R","NCT02838589","Yes","https://doi.org/10.3389/fnagi.2022.899389","10.3389/fnagi.2022.899389","Systematic Google search","Journal publication",NA,"NCT ID",2022-07-25,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2016-08-31","2017-02-28",NA,NA,"5","Eero_R","Found by 1/2 reviewers, matching all 5 criteria"
"F37",2022-12-07 01:31:36,"Eero_R","NCT03290053","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-11-28","2018-04-18",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F38",2022-12-07 01:35:18,"Eero_R","NCT01785264","Yes","https://doi.org/10.1056/nejmoa2108447","10.1056/nejmoa2108447","Linked at the registration","Journal publication",35417636,"NCT ID",2022-04-14,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2013-02-28","2019-05-31",NA,NA,"5","Eero_R","Found by 1/2 reviewers, matching all 5 criteria"
"F39",2022-12-07 01:38:36,"Eero_R","NCT01388270","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2011-09-30","2016-01-31",NA,NA,"NA",NA,"No publication, not agreed by other reviewer"
"F40",2022-12-07 03:57:48,"Eero_R","NCT03949075","Yes","https://doi.org/10.1007/s00421-022-05072-5","10.1007/s00421-022-05072-5","Linked at the registration","Journal publication",36271942,"NCT ID",2022-10-22,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2019-05-15","2019-12-30",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria"
"F41",2022-12-07 15:13:21,"Maximilian_S","NCT03946956","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-08-01","2019-03-31",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F42",2022-12-07 15:19:48,"Maximilian_S","NCT02068573","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2012-08-31","2016-02-29",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F43",2022-12-07 15:30:05,"Maximilian_S","NCT01313026","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2011-01-31","2018-09-30",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F44",2022-12-07 15:35:55,"Maximilian_S","NCT03828981","Yes","https://obgyn.onlinelibrary.wiley.com/doi/10.1002/ijgo.13382","10.1002/ijgo.13382","Linked at the registration","Journal publication",32961589,"NCT ID",2020-10-19,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2016-05-31","2018-05-30",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F45",2022-12-07 15:47:06,"Maximilian_S","NCT02482792","Yes","https://onlinelibrary.wiley.com/doi/10.1002/pri.1891","10.1002/pri.1891","Systematic Google search","Journal publication",33320397,"NCT ID",2020-12-15,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2013-08-31","2017-10-26",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F46",2022-12-07 21:06:11,"Maximilian_S","NCT02625103","Yes","https://doi.org/10.1111/acps.12673","10.1111/acps.12673","Systematic Google search","Journal publication",27922183,"NCT ID",2016-12-06,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2015-09-30","2016-02-29",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F47",2022-12-07 21:13:37,"Maximilian_S","NCT02808611","Yes","https://doi.org/10.1515/sjpain-2018-0054","10.1515/sjpain-2018-0054","Linked at the registration","Journal publication",29858911,"NCT ID",2018-07-26,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2016-07-31","2017-01-31",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F48",2022-12-07 21:42:00,"Maximilian_S","NCT02774655","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2016-05-31","2017-09-30",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F49",2022-12-07 21:54:38,"Maximilian_S","NCT02380469","Yes","https://link.springer.com/article/10.1007/s00520-019-04900-3","10.1007/s00520-019-04900-3","Linked at the registration","Journal publication",31177391,"NCT ID",2019-06-08,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2015-04-30","2016-08-31",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F50",2022-12-07 22:12:54,"Maximilian_S","NCT02818660","Yes","https://doi.org/10.1210/jc.2017-02602","10.1210/jc.2017-02602","Systematic Google search","Journal publication",29452421,"NCT ID",2018-04-01,"No","Yes","Yes","No","Yes",3,"ctgov","2016-05-31","2018-05-31","Publication date before completion date",NA,"3","Maximilian_S","Found by 1/2 reviewers, ineligible match"
"F51",2022-12-07 22:14:14,"Maximilian_S","NCT02818660","Yes","https://doi.org/10.1016/j.fertnstert.2022.05.012","10.1016/j.fertnstert.2022.05.012","Systematic Google search","Journal publication",35725670,"NCT ID",2022-06-18,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2016-05-31","2018-05-31",NA,NA,"5","Maximilian_S","Found by 1/2 reviewers, matching all 5 criteria"
"F52",2022-12-07 22:20:37,"Maximilian_S","NCT03909256","Yes","https://nutritionj.biomedcentral.com/articles/10.1186/s12937-020-00539-7","10.1186/s12937-020-00539-7","Linked at the registration","Journal publication",32183835,"NCT ID",2020-03-17,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2019-04-15","2019-12-09",NA,NA,"5","Maximilian_S","Found by 1/2 reviewers, matching all 5 criteria"
"F53",2022-12-08 00:58:10,"Eero_R","NCT01268397","Yes","https://doi.org/10.1186%2Fs12891-022-05394-7","10.1186/s12891-022-05394-7","Linked at the registration","Journal publication",35549696,"NCT ID",2022-05-12,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2009-12-31","2019-12-31",NA,NA,"5; 4","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match"
"F54",2022-12-08 01:06:32,"Eero_R","NCT02746497","Yes","https://doi.org/10.1136/bmjopen-2018-023637","10.1136/bmjopen-2018-023637","Linked at the registration","Journal publication",30782712,"NCT ID",2019-02-19,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2016-10-31","2017-07-31",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria"
"F55",2022-12-08 01:08:40,"Eero_R","NCT02746497","Yes","https://doi.org/10.1186/s12906-021-03208-2","10.1186/s12906-021-03208-2","Linked at the registration","Journal publication",33441145,"NCT ID",2021-01-13,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2016-10-31","2017-07-31",NA,NA,"5","Eero_R","Found by 1/2 reviewers, matching all 5 criteria"
"F56",2022-12-08 01:17:28,"Eero_R","NCT02098031","Yes","https://doi.org/10.1111/mcn.12527","10.1111/mcn.12527","Linked at the registration","Journal publication",28925580,"NCT ID",2017-09-19,"Yes","Yes","Yes","Yes","No",4,"ctgov","2014-03-31","2016-08-31",NA,NA,"4","Eero_R","Found by 1/2 reviewers, near-match"
"F57",2022-12-08 01:19:43,"Eero_R","NCT02098031","Yes","https://doi.org/10.7189/jogh.09.010431","10.7189/jogh.09.010431","Linked at the registration","Journal publication",31131103,"NCT ID",2019-06-01,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2014-03-31","2016-08-31",NA,NA,"5","Eero_R","Found by 1/2 reviewers, matching all 5 criteria"
"F58",2022-12-08 01:22:53,"Eero_R","NCT02098031","Yes","https://doi.org/10.1017/s1368980020001603","10.1017/s1368980020001603","Linked at the registration","Journal publication",32654677,"NCT ID",2020-07-13,"Yes","Yes","Yes","Yes","No",4,"ctgov","2014-03-31","2016-08-31",NA,NA,"4","Eero_R","Found by 1/2 reviewers, near-match"
"F59",2022-12-08 01:26:16,"Eero_R","NCT02098031","Yes","https://doi.org/10.1017/s136898002100077x","10.1017/s136898002100077x","Linked at the registration","Journal publication",33706831,"NCT ID",2021-03-12,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2014-03-31","2016-08-31",NA,NA,"5","Eero_R","Found by 1/2 reviewers, matching all 5 criteria"
"F60",2022-12-08 01:28:04,"Tomasz_K","2012-003574-66","Yes","http://www.of-aarhus.dk/files/Filer/Rehne_L_Hansens_phd.pdf","http://www.of-aarhus.dk/files/Filer/Rehne_L_Hansens_phd.pdf","a part of PhD thesis, see Paper IV but non-published...?","preprint / manuscript included in PhD thesis",NA,"EudraCT ID",2016-12-16,"Yes","Yes","Yes","Yes","Yes",5,"euctr","2013-10-10","2017-11-01","Publication date before completion date",NA,"5","Tomasz_K","Found by 1/2 reviewers, matching all 5 criteria"
"F61",2022-12-08 01:30:56,"Eero_R","NCT02098031","Yes","https://doi.org/10.1016/j.clnu.2021.08.007","10.1016/j.clnu.2021.08.007","Systematic Google search","Journal publication",34461584,"NCT ID",2021-08-20,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2014-03-31","2016-08-31",NA,NA,"5; 4","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match"
"F62",2022-12-08 01:42:14,"Eero_R","NCT03065842","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-02-05","2018-03-05",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F63",2022-12-08 01:47:20,"Eero_R","NCT02126202","Yes","https://doi.org/10.1080/14017431.2020.1781243","10.1080/14017431.2020.1781243","Linked at the registration","Journal publication",32586153,"NCT ID",2020-06-26,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2009-08-31","2016-01-31",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria"
"F64",2022-12-08 01:53:20,"Tomasz_K","NCT02240823","Yes","https://pubmed.ncbi.nlm.nih.gov/27077129/","10.1016/j.ebiom.2016.01.024","Linked at the registration","Journal publication",27077129,"NCT ID",2016-01-19,"Yes","No","Yes","Yes","Yes",4,"ctgov","2014-04-30","2016-09-30","Publication date before completion date",NA,"4; 5","Martin_R; Tomasz_K","Found by 2/2 reviewers, near-match vs. full match"
"F65",2022-12-08 01:55:26,"Eero_R","NCT03181581","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-03-01","2018-12-31",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F66",2022-12-08 01:58:21,"Eero_R","NCT02757599","Yes","https://doi.org/10.1111/aogs.13444","10.1111/aogs.13444","Systematic Google search","Journal publication",30132792,"NCT ID",2018-09-18,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2016-08-31","2017-06-30",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria"
"F67",2022-12-08 02:03:36,"Eero_R","NCT04300972","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2016-06-15","2016-10-15",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F68",2022-12-08 02:06:46,"Eero_R","NCT03004677","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-01-31","2019-12-31",NA,NA,"NA",NA,"No publication, not agreed by other reviewer"
"F69",2022-12-08 02:13:54,"Eero_R","NCT03846661","Yes","https://doi.org/10.1002/bjs.11562","10.1002/bjs.11562","Systematic Google search","Journal publication",32239495,"NCT ID",2020-04-01,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2010-01-01","2019-02-01",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria"
"F70",2022-12-08 02:17:03,"Eero_R","NCT01512615","Yes","https://doi.org/10.1093/eurjcn/zvab047","10.1093/eurjcn/zvab047","Linked at the registration","Journal publication",34089600,"NCT ID",2022-04-09,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2011-12-31","2018-10-15",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria"
"F71",2022-12-08 02:25:07,"Eero_R","NCT02234830","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2012-12-21","2017-05-14",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F72",2022-12-08 02:30:57,"Eero_R","NCT02050282","Yes","https://doi.org/10.1177/2048872617709985","10.1177/2048872617709985","Linked at the registration","Journal publication",28492084,"NCT ID",2017-05-11,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2014-02-28","2016-05-31",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria"
"F73",2022-12-08 02:40:45,"Eero_R","NCT03348644","Yes","https://doi.org/10.5812/ijem.91454","10.5812/ijem.91454","Systematic Google search","Journal publication",31903094,"NCT ID",2019-10-01,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2015-08-01","2016-06-01",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria"
