"form_id","extraction_time","reviewer","trial_id","publication_found","publication_url","publication_doi","identification_step","publication_type","publication_pmid","typo_primary_id","publication_date","match_design","match_indication_population","match_intervention","match_comparator","match_any_outcome","n_matching_criteria","registry","start_date_recoded","completion_date_recoded","warning_cd_to_publication","warning_start_to_publication","n_match_agree","article_found_by","article_agreement_information","proj_id","eligibility","crossregistration_check","nct_id","eudract_id","main_id","reviewer_1","reviewer_2","has_publication","former_discrepancy","extraction_date_latest"
"F39",2022-12-07,"Eero_R","NCT01388270","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2011-09-30","2016-01-31",NA,NA,"NA",NA,"No publication, not agreed by other reviewer",1089,"Eligible","Irrelevant intervention type","NCT01388270",NA,NA,NA,NA,NA,NA,NA
"F40",2022-12-07,"Eero_R","NCT03949075","Yes","https://doi.org/10.1007/s00421-022-05072-5","10.1007/s00421-022-05072-5","Linked at the registration","Journal publication","36271942","NCT ID",2022-10-22,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2019-05-15","2019-12-30",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria",1521,"Eligible","None found","NCT03949075",NA,NA,NA,NA,NA,NA,NA
"F41",2022-12-07,"Maximilian_S","NCT03946956","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-08-01","2019-03-31",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",1522,"Eligible","Irrelevant intervention type","NCT03946956",NA,NA,NA,NA,NA,NA,NA
"F42",2022-12-07,"Maximilian_S","NCT02068573","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2012-08-31","2016-02-29",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",2185,"Eligible","Irrelevant intervention type","NCT02068573",NA,NA,NA,NA,NA,NA,NA
"F43",2022-12-07,"Maximilian_S","NCT01313026","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2011-01-31","2018-09-30",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",1038,"Eligible","Irrelevant intervention type","NCT01313026",NA,NA,NA,NA,NA,NA,NA
"F44",2022-12-07,"Maximilian_S","NCT03828981","Yes","https://obgyn.onlinelibrary.wiley.com/doi/10.1002/ijgo.13382","10.1002/ijgo.13382","Linked at the registration","Journal publication","32961589","NCT ID",2020-10-19,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-05-31","2018-05-30",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",1096,"Eligible","Irrelevant intervention type","NCT03828981",NA,NA,NA,NA,NA,NA,NA
"F45",2022-12-07,"Maximilian_S","NCT02482792","Yes","https://onlinelibrary.wiley.com/doi/10.1002/pri.1891","10.1002/pri.1891","Systematic Google search","Journal publication","33320397","NCT ID",2020-12-15,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2013-08-31","2017-10-26",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",390,"Eligible","Irrelevant intervention type","NCT02482792",NA,NA,NA,NA,NA,NA,NA
"F46",2022-12-07,"Maximilian_S","NCT02625103","Yes","https://doi.org/10.1111/acps.12673","10.1111/acps.12673","Systematic Google search","Journal publication","27922183","NCT ID",2016-12-06,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2015-09-30","2016-02-29",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",2279,"Eligible","Identified in manual search","NCT02625103","2015-002520-82",NA,NA,NA,NA,NA,NA
"F47",2022-12-07,"Maximilian_S","NCT02808611","Yes","https://doi.org/10.1515/sjpain-2018-0054","10.1515/sjpain-2018-0054","Linked at the registration","Journal publication","29858911","NCT ID",2018-07-26,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-07-31","2017-01-31",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",1695,"Eligible","None found","NCT02808611",NA,NA,NA,NA,NA,NA,NA
"F48",2022-12-07,"Maximilian_S","NCT02774655","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2016-05-31","2017-09-30",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",1740,"Eligible","Irrelevant intervention type","NCT02774655",NA,NA,NA,NA,NA,NA,NA
"F49",2022-12-07,"Maximilian_S","NCT02380469","Yes","https://link.springer.com/article/10.1007/s00520-019-04900-3","10.1007/s00520-019-04900-3","Linked at the registration","Journal publication","31177391","NCT ID",2019-06-08,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2015-04-30","2016-08-31",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",483,"Eligible","Irrelevant intervention type","NCT02380469",NA,NA,NA,NA,NA,NA,NA
"F53",2022-12-08,"Eero_R","NCT01268397","Yes","https://doi.org/10.1186%2Fs12891-022-05394-7","10.1186/s12891-022-05394-7","Linked at the registration","Journal publication","35549696","NCT ID",2022-05-12,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2009-12-31","2019-12-31",NA,NA,"5; 4","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match",1007,"Eligible","Irrelevant intervention type","NCT01268397",NA,NA,NA,NA,NA,NA,NA
"F54",2022-12-08,"Eero_R","NCT02746497","Yes","https://doi.org/10.1136/bmjopen-2018-023637","10.1136/bmjopen-2018-023637","Linked at the registration","Journal publication","30782712","NCT ID",2019-02-19,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-10-31","2017-07-31",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria",1785,"Eligible","Irrelevant intervention type","NCT02746497",NA,NA,NA,NA,NA,NA,NA
"F55",2022-12-08,"Eero_R","NCT02746497","Yes","https://doi.org/10.1186/s12906-021-03208-2","10.1186/s12906-021-03208-2","Linked at the registration","Journal publication","33441145","NCT ID",2021-01-13,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-10-31","2017-07-31",NA,NA,"5","Eero_R","Found by 1/2 reviewers, matching all 5 criteria",1785,"Eligible","Irrelevant intervention type","NCT02746497",NA,NA,NA,NA,NA,NA,NA
"F56",2022-12-08,"Eero_R","NCT02098031","Yes","https://doi.org/10.1111/mcn.12527","10.1111/mcn.12527","Linked at the registration","Journal publication","28925580","NCT ID",2017-09-19,"Yes","Yes","Yes","Yes","No","4","ctgov","2014-03-31","2016-08-31",NA,NA,"4","Eero_R","Found by 1/2 reviewers, near-match",2265,"Eligible","Irrelevant intervention type","NCT02098031",NA,NA,NA,NA,NA,NA,NA
"F57",2022-12-08,"Eero_R","NCT02098031","Yes","https://doi.org/10.7189/jogh.09.010431","10.7189/jogh.09.010431","Linked at the registration","Journal publication","31131103","NCT ID",2019-06-01,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2014-03-31","2016-08-31",NA,NA,"5","Eero_R","Found by 1/2 reviewers, matching all 5 criteria",2265,"Eligible","Irrelevant intervention type","NCT02098031",NA,NA,NA,NA,NA,NA,NA
"F58",2022-12-08,"Eero_R","NCT02098031","Yes","https://doi.org/10.1017/s1368980020001603","10.1017/s1368980020001603","Linked at the registration","Journal publication","32654677","NCT ID",2020-07-13,"Yes","Yes","Yes","Yes","No","4","ctgov","2014-03-31","2016-08-31",NA,NA,"4","Eero_R","Found by 1/2 reviewers, near-match",2265,"Eligible","Irrelevant intervention type","NCT02098031",NA,NA,NA,NA,NA,NA,NA
"F59",2022-12-08,"Eero_R","NCT02098031","Yes","https://doi.org/10.1017/s136898002100077x","10.1017/s136898002100077x","Linked at the registration","Journal publication","33706831","NCT ID",2021-03-12,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2014-03-31","2016-08-31",NA,NA,"5","Eero_R","Found by 1/2 reviewers, matching all 5 criteria",2265,"Eligible","Irrelevant intervention type","NCT02098031",NA,NA,NA,NA,NA,NA,NA
"F61",2022-12-08,"Eero_R","NCT02098031","Yes","https://doi.org/10.1016/j.clnu.2021.08.007","10.1016/j.clnu.2021.08.007","Systematic Google search","Journal publication","34461584","NCT ID",2021-08-20,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2014-03-31","2016-08-31",NA,NA,"5; 4","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match",2265,"Eligible","Irrelevant intervention type","NCT02098031",NA,NA,NA,NA,NA,NA,NA
"F62",2022-12-08,"Eero_R","NCT03065842","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-02-05","2018-03-05",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",1285,"Eligible","Irrelevant intervention type","NCT03065842",NA,NA,NA,NA,NA,NA,NA
"F63",2022-12-08,"Eero_R","NCT02126202","Yes","https://doi.org/10.1080/14017431.2020.1781243","10.1080/14017431.2020.1781243","Linked at the registration","Journal publication","32586153","NCT ID",2020-06-26,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2009-08-31","2016-01-31",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria",2320,"Eligible","Irrelevant intervention type","NCT02126202",NA,NA,NA,NA,NA,NA,NA
"F64",2022-12-08,"Tomasz_K","NCT02240823","Yes","https://pubmed.ncbi.nlm.nih.gov/27077129/","10.1016/j.ebiom.2016.01.024","Linked at the registration","Journal publication","27077129","NCT ID",2016-01-19,"Yes","No","Yes","Yes","Yes","4","ctgov","2014-04-30","2016-09-30","Publication date before completion date",NA,"4; 5","Martin_R; Tomasz_K","Found by 2/2 reviewers, near-match vs. full match",464,"Eligible","Irrelevant intervention type","NCT02240823",NA,NA,NA,NA,NA,NA,NA
"F65",2022-12-08,"Eero_R","NCT03181581","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-03-01","2018-12-31",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",957,"Eligible","None found","NCT03181581",NA,NA,NA,NA,NA,NA,NA
"F66",2022-12-08,"Eero_R","NCT02757599","Yes","https://doi.org/10.1111/aogs.13444","10.1111/aogs.13444","Systematic Google search","Journal publication","30132792","NCT ID",2018-09-18,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-08-31","2017-06-30",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria",1772,"Eligible","Irrelevant intervention type","NCT02757599",NA,NA,NA,NA,NA,NA,NA
"F67",2022-12-08,"Eero_R","NCT04300972","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2016-06-15","2016-10-15",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",1199,"Eligible","Irrelevant intervention type","NCT04300972",NA,NA,NA,NA,NA,NA,NA
"F68",2022-12-08,"Eero_R","NCT03004677","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-01-31","2019-12-31",NA,NA,"NA",NA,"No publication, not agreed by other reviewer",1373,"Eligible","Irrelevant intervention type","NCT03004677",NA,NA,NA,NA,NA,NA,NA
"F69",2022-12-08,"Eero_R","NCT03846661","Yes","https://doi.org/10.1002/bjs.11562","10.1002/bjs.11562","Systematic Google search","Journal publication","32239495","NCT ID",2020-04-01,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2010-01-01","2019-02-01",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria",1075,"Eligible","Irrelevant intervention type","NCT03846661",NA,NA,NA,NA,NA,NA,NA
"F70",2022-12-08,"Eero_R","NCT01512615","Yes","https://doi.org/10.1093/eurjcn/zvab047","10.1093/eurjcn/zvab047","Linked at the registration","Journal publication","34089600","NCT ID",2022-04-09,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2011-12-31","2018-10-15",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria",1155,"Eligible","Irrelevant intervention type","NCT01512615",NA,NA,NA,NA,NA,NA,NA
