"proj_id","primary_id","eligibility","registry","eudract_id","nct_id","crossregistration_check","short_title","lead_institution","has_results","trial_status_recoded","sponsor_status","phase","were_results_reported","study_first_submitted_date","start_date","completion_date","overall_status","enrollment","agency_classes","intervention_types_combined","max_end_date","long_title","trial_name"
11,"2008-008921-30","Eligible","euctr","2008-008921-30","NCT00888511","Identified in manual search","Concomitant Tarceva® and irradiation in patients in local-regionally advanced non-small cell lung cancer. A phase II study","Odense University Hospital",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2017-02-04","Concomitant Tarceva® and irradiation in patients in local-regionally advanced non-small cell lung cancer. A phase II study",""
12,"2009-010164-42","Eligible","euctr","2009-010164-42",NA,"None found","Ahtaan esinahan (fimoosin) hoito 0.1 % mometasonifuroaattivoiteella yli 6-v pojilla","Oulu University Hospital",0,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-20","Ahtaan esinahan (fimoosin) hoito 0.1 % mometasonifuroaattivoiteella yli 6-v pojilla",""
13,"2009-012010-52","Eligible","euctr","2009-012010-52","NCT01274273","Identified in publication","Bevacizumab, Interleukin-2 and Interferon-alpha in metastathic renal cell carcinoma","Aarhus University Hospital",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2017-05-31","Bevacizumab, Interleukin-2 and Interferon-alpha in metastathic renal cell carcinoma","mRCC"
14,"2009-012203-26","Eligible","euctr","2009-012203-26",NA,"None found","Efficacy and Safety of Inhaled Budesonide in Very Preterm Infants at Risk for Bronchopulmonary Dysplasia","Oulu University Hospital",1,"Any Completed, none Prematurely Ended",0,"3",NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-31","Efficacy and Safety of Inhaled Budesonide in Very Preterm Infants at Risk for Bronchopulmonary Dysplasia","NEUROSIS"
15,"2009-014821-17","Eligible","euctr","2009-014821-17","NCT01387295","Automatically identified","Intra-hepatic chemotherapy with oxaliplatin every second week in combination with systemic capecitabine and in patients with a HER2-positive tumour in combination with trastuzumab (Herceptin®) in pati...","Herlev and Gentofte Hospital",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2017-05-01","Intra-hepatic chemotherapy with oxaliplatin every second week in combination with systemic capecitabine and in patients with a HER2-positive tumour in combination with trastuzumab (Herceptin®) in patient with non-resectable liver metastases from breast cancer.
 
 A phase II trial in patients with limited extrahepatic disease.",""
16,"2009-014863-37","Eligible","euctr","2009-014863-37","NCT01387373","Automatically identified","Intra-hepatic chemotherapy with oxaliplatin every second week in combination with systemic capecitabine and in patients with a HER2-positive tu,our in combination with trastuzumab (Herceptin (R)) in p...","Herlev and Gentofte Hospital",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2017-05-01","Intra-hepatic chemotherapy with oxaliplatin every second week in combination with systemic capecitabine and in patients with a HER2-positive tu,our in combination with trastuzumab (Herceptin (R)) in patientswith non-resectable liver metasatses from breast cancer A phase II trial in patients without extrahepatic disease.",""
17,"2009-017163-42","Eligible","euctr","2009-017163-42","NCT01197144","Automatically identified","Pain modulation in RA – Influence of adalimumab. A randomized, placebo-controlled study using functional magnetic resonance imaging","Karolinska Institutet",0,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2017-03-22","Pain modulation in RA – Influence of adalimumab. A randomized, placebo-controlled study using functional magnetic resonance imaging","PARADE"
18,"2009-017752-28","Eligible","euctr","2009-017752-28","NCT01449032","Identified in publication","Stamcellebehandling af patienter med kronisk kranspulsåresygdom  MesenchYmal STROMAL CELL therapy in patients with chronic myocardial ischemia (MyStromalCell Trial)","Copenhagen University Hospital",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2017-01-03","Stamcellebehandling af patienter med kronisk kranspulsåresygdom 
 MesenchYmal STROMAL CELL therapy in patients with chronic myocardial ischemia (MyStromalCell Trial)","MyStromalCell Trial"
19,"2010-020782-24","Eligible","euctr","2010-020782-24",NA,"None found","The effects of dexmedetomidine on cardiac electrophysiology in adults","Helsinki University Hospital",0,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2019-09-09","The effects of dexmedetomidine on cardiac electrophysiology in adults","Dexmedetomidine and cardiac physiology"
20,"2010-022307-22","Eligible","euctr","2010-022307-22","NCT01446328","Automatically identified","The Bergen Psychosis Project 2","Haukeland university hospital",1,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-20","The Bergen-Stavanger-Innsbruck-Trondheim Study","Best Intro"
21,"2010-022318-22","Eligible","euctr","2010-022318-22",NA,"None found","Tsoledronaatti hoito paikallista kiihtynyttä  luunvaihdunta- oireyhtymää sairastavilla potilailla","Oulu University Hospital",0,"Any Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2019-09-24","Tsoledronaatti hoito paikallista kiihtynyttä  luunvaihdunta- oireyhtymää sairastavilla potilailla","Tsoledronaatti luunekroosin hoidossa"
22,"2010-022400-53","Eligible","euctr","2010-022400-53","NCT01172171","Identified in publication","Intracoronary administration of melatonin for patients with acute myocardial infarction: a placebo controlled randomized study.","Zealand University Hospital",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2016-06-28","Intracoronary administration of melatonin for patients with acute myocardial infarction: a placebo controlled randomized study.","IMPACT"
23,"2010-022715-19","Eligible","euctr","2010-022715-19",NA,"None found","Inflammation och koagulation vid habituell abort","Linkoeping University Hospital",0,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-27","Inflammation och koagulation vid habituell abort","RSA/LMH-studien"
24,"2010-023103-94","Eligible","euctr","2010-023103-94","NCT01455259","Automatically identified","PHASE I/IIa AdCD40L IMMUNOGENE THERAPY FOR MALIGNANT MELANOMA PATIENTS WITH DISSEMINATED DISEASE","Uppsala University",1,"Any Completed, none Prematurely Ended",0,"1",NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-28","PHASE I/IIa AdCD40L IMMUNOGENE THERAPY FOR MALIGNANT MELANOMA PATIENTS WITH DISSEMINATED DISEASE","002:CD40L"
25,"2010-024488-42","Eligible","euctr","2010-024488-42","NCT01496690","Automatically identified","Pregabalin for anxiety comorbidity in patients with schizophrenia (PACS) - A Double-blinded Randomized Placebo Controlled Trial    Pregabalin til behandling af komorbid angst ved skizofreni - Et dobbe...","Aarhus University",1,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2016-08-15","Pregabalin for anxiety comorbidity in patients with schizophrenia (PACS)
 - A Double-blinded Randomized Placebo Controlled Trial 
 
 
 Pregabalin til behandling af komorbid angst ved skizofreni
 - Et dobbeltblindet randomiseret placebo kontrolleret forsøg","PACS"
26,"2011-000273-31","Eligible","euctr","2011-000273-31","NCT01511146","Automatically identified","Intra-hepatic and systemic chemotherapy with or without antibody for patients with non-resectable liver metastasis from solid tumours","Herlev and Gentofte Hospital",1,"Any Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"","Intra-hepatic and systemic chemotherapy with or without antibody for patients with non-resectable liver metastasis from solid tumours",""
27,"2011-000310-19","Ineligible end date","euctr","2011-000310-19","NCT03897452","Identified in manual search","Fentanyl treatment in newborn infants: A Pharmacokinetic, Pharmacodynamic, and Pharmacogenetic Study (PK/PD model)","Lund University",0,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2019-02-05","Fentanyl treatment in newborn infants: A Pharmacokinetic, Pharmacodynamic, and Pharmacogenetic Study (PK/PD model)","NeoFent I"
28,"2011-000703-40","Eligible","euctr","2011-000703-40","NCT01397019","Automatically identified","Clinical trial with chemotherapy for patients with non-resectable, locally advanced pancreatic cancer and addition of chemo-radiotherapy for patients with borderline resectable pancreatic cancer.  DPS...","Odense University Hospital",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2018-02-28","Clinical trial with chemotherapy for patients with non-resectable, locally advanced pancreatic cancer and addition of chemo-radiotherapy for patients with borderline resectable pancreatic cancer. 
 DPSG - ”Danish Pancreatic cancer Study Group”","Folfirinox"
29,"2011-000818-20","Eligible","euctr","2011-000818-20","NCT01390051","Identified in publication","Kan behandling med lavmolekylært heparin under graviditet med intrauterin væksthæmning øge fostervæksten?","Aarhus University Hospital",1,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2017-08-31","Kan behandling med lavmolekylært heparin under graviditet med intrauterin væksthæmning øge fostervæksten?",""
30,"2011-001452-11","Eligible","euctr","2011-001452-11","NCT01423929","Identified in publication","Supplemental Oxygen in Catherized Coronary Emergency Reperfusion","Skane University Hospital",0,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2016-02-15","Supplemental Oxygen in Catherized Coronary Emergency Reperfusion","SOCCER"
31,"2011-001481-18","Eligible","euctr","2011-001481-18","NCT01630941","Automatically identified","Uncemented total hip implant and subcutaneous injection of Denosumab for patients with osteoarthritis of the hip. A randomised double blind placebo controlled study on the effects on bone evaluated wi...","Uppsala Academic Hospital",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2017-03-30","Uncemented total hip implant and subcutaneous injection of Denosumab for patients with osteoarthritis of the hip. A randomised double blind placebo controlled study on the effects on bone evaluated with DXA, PET/CT, and biochemical markers.","DATA"
32,"2011-002203-15","Eligible","euctr","2011-002203-15","NCT01587378","Automatically identified","Metformin treatment of pregnant PCOS women and prevention of  late miscarriages and preterm birth  The PregMet 2 Study","Norwegian University of Science and Technology",1,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-02","Metformin treatment of pregnant PCOS women and prevention of  late miscarriages and preterm birth
 
 The PregMet 2 Study","PregMet 2"
33,"2011-002547-94","Eligible","euctr","2011-002547-94","NCT01372176","Automatically identified","Early Goal-Directed Nutrition in ICU Patients – EAT-ICU Trial    Tidlig målrettet ernæring til intensivpatienter - EAT-ICU Forsøget","Copenhagen University Hospital",1,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2016-10-15","Early Goal-Directed Nutrition in ICU Patients – EAT-ICU Trial 
 
 
 Tidlig målrettet ernæring til intensivpatienter - EAT-ICU Forsøget","EAT-ICU Trial 
 
 
 EAT-ICU Forsøget"
34,"2011-002630-39","Eligible","euctr","2011-002630-39","NCT01582165","Automatically identified","MICROVASCULAR RESISTANCE IN WOMEN WITH CHEST PAIN AND NO OR MINIMAL CORONARY ARTERY DISEASE","Oslo University Hospital",0,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2016-06-09","MICROVASCULAR RESISTANCE IN WOMEN WITH CHEST PAIN AND NO OR MINIMAL CORONARY ARTERY DISEASE",""
35,"2011-002677-30","Eligible","euctr","2011-002677-30",NA,"None found","Preclinical phase 0 micro dose study to evaluate the effekt of R-CHOP chemotherapy on cellular gene-expression. - Establisment of a preclinical model for in vivo evaluation of molecular biological efe...","Aalborg University Hospital",1,"Any Prematurely Ended",0,"1",NA,NA,NA,NA,NA,NA,NA,NA,"2018-06-15","Preclinical phase 0 micro dose study to evaluate the effekt of R-CHOP chemotherapy on cellular gene-expression.
 - Establisment of a preclinical model for in vivo evaluation of molecular biological efects.  
 
 
 Præklinisk fase 0 mikrodosisstudie til vurdering af R-CHOP kemoterapeutikas påvirkning af genudtryk
 - etablering af en præklinisk model til molekylær vurdering af biologisk effekt in vivo","R-CHOP phase 0 
 
 
 R-CHOP fase 0"
36,"2011-002780-16","Eligible","euctr","2011-002780-16",NA,"None found","PROLOGUES - Prehospital lowering of glucose in Stroke","Karolinska Institutet",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2018-05-31","PROLOGUES - Prehospital lowering of glucose in Stroke","PROLOGUES"
37,"2011-002819-28","Ineligible institution","euctr","2011-002819-28",NA,"Ignore, ineligible","Internet-based cognitive behavior therapy in combination with  D-Cycloserine for Obsessive Compulsive Disorder: A double blinded randomized controlled trial",NA,1,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2016-12-09","Internet-based cognitive behavior therapy in combination with  D-Cycloserine for Obsessive Compulsive Disorder: A double blinded randomized controlled trial","ICBT with DCS for OCD: A double blinded randomized controlled trial"
38,"2011-003564-72","Eligible","euctr","2011-003564-72","NCT01941771","Identified in publication","A Randomised phase II study with the combination of Xeloda (Capecitabine) plus Navelbine Oral ( Vinorelbine) day 1 and day 8 every 3. week versus Xeloda plus Navelbine Oral given metronimic as 1. or 2...","Aarhus University Hospital; Aarhus University",1,"Any Completed, none Prematurely Ended",2,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2019-12-11","A Randomised phase II study with the combination of Xeloda (Capecitabine) plus Navelbine Oral ( Vinorelbine) day 1 and day 8 every 3. week versus Xeloda plus Navelbine Oral given metronimic as 1. or 2. line chemotherapy to patients with HER2 negative local metastatic breastcancer.","XeNa"
39,"2011-004188-65","Eligible","euctr","2011-004188-65","NCT01867697","Identified in manual search","FOLFIRI + Erbitux versus alternating FOLFIRI + Erbitux/FOLFOX + Erbitux to patients with RAS wild type metastatic colorectalcancer","Odense University Hospital",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2019-05-31","Potentially resectable metastatic colorectal cancer with wild-type KRAS and BRAF: alternating chemotherapy plus cetuximab - A randomised phase II trial - Nordic 7.6","Nordic 8"
40,"2011-005438-20","Eligible","euctr","2011-005438-20","NCT01821404","Identified in publication","Effects of short-term atorvastatin treatment on prostate cancer - a pre-surgical pilot trial    Lyhytaikaisen atorvastatiinin käytön vaikutus eturauhassyöpään - pilottitutkimus","University of Tampere; Tampere University Hospital",0,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2016-04-30","Effects of short-term atorvastatin treatment on prostate cancer - a pre-surgical pilot trial 
 
 
 Lyhytaikaisen atorvastatiinin käytön vaikutus eturauhassyöpään - pilottitutkimus","Atorvastatin and prostate cancer 
 
 
 Atorvastatiini ja eturauhassyöpä"
41,"2011-005822-23","Eligible","euctr","2011-005822-23","NCT01771328","Identified in manual search","CONTINUOUS SUBCUTANEOUS HYDROCORTISONE INFUSION IN CONGENITAL ADRENAL HYPERPLASIA","Haukeland university hospital",0,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2017-02-20","CONTINUOUS SUBCUTANEOUS HYDROCORTISONE INFUSION IN CONGENITAL ADRENAL HYPERPLASIA",""
42,"2011-005989-38","Eligible","euctr","2011-005989-38","NCT01725204","Automatically identified","A SAFETY AND EFFICACY STUDY OF ADDING LOW DOSE PEGYLATED IFN-ALPHA 2B TO STANDARD DOSE DASATINIB IN PATIENTS WITH NEWLY DIAGNOSED CHRONIC MYELOID LEUKEMIA","Norwegian University of Science and Technology",0,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2019-03-19","A SAFETY AND EFFICACY STUDY OF ADDING LOW DOSE PEGYLATED IFN-<U+0391>LPHA 2B TO STANDARD DOSE DASATINIB IN PATIENTS WITH NEWLY DIAGNOSED CHRONIC PHASE CHRONIC MYELOID LEUKEMIA","NordCML007"
43,"2011-006040-79","Eligible","euctr","2011-006040-79",NA,"None found","The efficacy and safety of adding tocilizumab to methotrexate and intra-articular glucocorticosteroid treatment in early rheumatoid arthritis. A randomized, double-blinded, placebo-controlled trial.","Aarhus University Hospital",0,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-02","The efficacy and safety of adding tocilizumab to methotrexate and intra-articular glucocorticosteroid treatment in early rheumatoid arthritis.
 A randomized, double-blinded, placebo-controlled trial.","DanACT Early"
44,"2012-000451-13","Eligible","euctr","2012-000451-13","NCT02083991","Identified in manual search","A controlled randomized, open-label, multi-centre study evaluating if a steroid-free immunosuppressive protocol, based on ATG- induction, low tacrolimus-dose and therapeutic drug monitoring of mycophe...","Sahlgrenska University Hospital",1,"Any Completed, none Prematurely Ended",0,"0",NA,NA,NA,NA,NA,NA,NA,NA,"2019-05-01","A controlled randomized, open-label, multi-centre study evaluating if a steroid-free immunosuppressive protocol, based on single dose ATG-induction, low tacrolimus-dose and therapeutic drug monitoring of mycophenolate mofetil, reduces the incidence of new onset diabetes after transplantation, in comparison with a standard steroid-based protocol with low-dose tacrolimus.","SAILOR"
45,"2012-000452-34","Eligible","euctr","2012-000452-34","NCT02040441","Automatically identified","Proteomic prediction and Renin angiotensin aldosterone system Inhibition prevention Of early diabetic nephRopathy In TYpe 2 diabetic patients with normoalbuminuria","Steno Diabetes Center Copenhagen",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2018-11-27","Proteomic prediction and Renin angiotensin aldosterone system Inhibition prevention Of early diabetic nephRopathy In TYpe 2 diabetic patients with normoalbuminuria","PRIORITY"
46,"2012-000721-53","Eligible","euctr","2012-000721-53",NA,"None found","ITT-PMS Extension An extension study of intrathecal therapy with monoclonal antibodies in progressive multiple sclerosis","University Hospital of Umeå",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2018-06-07","ITT-PMS Extension
 An extension study of intrathecal therapy with monoclonal antibodies in progressive multiple sclerosis","ITT-PMS Ext"
47,"2012-000747-26","Eligible","euctr","2012-000747-26",NA,"None found","Administration of S-Ketamine during spinal surgery to reduce postoperative pain    S- Ketamiinin annostelu selkäleikkauksen aikana leikkauksenjälkeisen kivun vähentämiseksi","Helsinki University Hospital",0,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2019-01-15","Administration of S-Ketamine during spinal surgery to reduce postoperative pain 
 
 
 S- Ketamiinin annostelu selkäleikkauksen aikana leikkauksenjälkeisen kivun vähentämiseksi",""
48,"2012-000808-16","Eligible","euctr","2012-000808-16","NCT01729156","Automatically identified","Effects of metformin on hepatic free fatty acid metabolism in type 2 diabetes asssessed by positron emission tomography    Effekten af metforminbehandling på leverens lipidomsætning bestemt ved Positr...","Aarhus University Hospital",1,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2016-06-30","Effects of metformin on hepatic free fatty acid metabolism in type 2 diabetes asssessed by positron emission tomography 
 
 
 Effekten af metforminbehandling på leverens lipidomsætning bestemt ved Positron Emissions Tomografi hos nydiagnosticerede type 2 diabetikere",""
49,"2012-001051-39","Eligible","euctr","2012-001051-39","NCT01790737","Automatically identified","A prospective phase II study to assess immunophenotypic remission after three-drug in-duction followed by randomized stem cell mobilization, autologous stem cell transplantation and lenalidomide maint...","Kuopio University Hospital",0,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2018-09-30","A prospective phase II study to assess immunophenotypic remission after three-drug in-duction followed by randomized stem cell mobilization, autologous stem cell transplantation and lenalidomide maintenance in patients with newly diagnosed multiple myeloma","First line treatment of myeloma with RVD, autologous stem cells and lenalidomide maintainance"
50,"2012-001380-76","Ineligible institution","euctr","2012-001380-76",NA,"Ignore, ineligible","Interventional, randomised, double-blind, parallel-group, placebo-controlled, flexible-dose long-term study to evaluate the maintenance of efficacy and safety of 1 to 3 mg/day of brexpiprazole as adju...",NA,1,"Any Completed, none Prematurely Ended",1,"3",NA,NA,NA,NA,NA,NA,NA,NA,"2016-06-08","Interventional, randomised, double-blind, parallel-group,
 placebo-controlled, flexible-dose long-term study to
 evaluate the maintenance of efficacy and safety of 1 to 3
 mg/day of brexpiprazole as adjunctive treatment in
 patients with major depressive disorder with an
 inadequate response to antidepressant treatment","N/A"
51,"2012-001557-46","Eligible","euctr","2012-001557-46",NA,"None found","Perioperativ installation of ropivacain in mastectomy – with or without axillary lymph node dissection after sentinel node diagnostics or known lymph node metastasis – A double-blind, randomized clini...","Odense University Hospital",1,"Any Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"","Perioperativ installation of ropivacain in mastectomy – with or without axillary lymph node dissection after sentinel node diagnostics or known lymph node metastasis – A double-blind, randomized clinical trial of the effect on postoperative pain 
 
 
 Perioperativ installation af ropivacain ved mastektomi – med eller uden aksilrømning efter sentinel node diagnostik eller kendte lymfeknudemetastaser - En dobbeltblindet randomiseret klinisk undersøgelse af den postoperative smertestillende effekt",""
52,"2012-001816-42","Eligible","euctr","2012-001816-42","NCT02573922","Identified in publication","Opioidien aiheuttama mahasuolikanavan toiminnanhäiriö selkärankaleikkauspotilailla","Kuopio University Hospital",0,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2019-01-23","Opioidien aiheuttama mahasuolikanavan toiminnanhäiriö selkärankaleikkauspotilailla",""
53,"2012-001912-53","Eligible","euctr","2012-001912-53","NCT01978418","Identified in manual search","Inhaled salbutamol in elective caesarean section    Salbutamoli-interventio elektiivisessä keisarileikkauksessa","Helsinki University Hospital",0,"Any Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2019-02-25","Inhaled salbutamol in elective caesarean section 
 
 
 Salbutamoli-interventio elektiivisessä keisarileikkauksessa",""
54,"2012-002211-25","Eligible","euctr","2012-002211-25","NCT01698138","Identified in manual search","Prevention of bladder dysfunction in acute spinal cord injury   A double-blind, randomized, placebo-controlled study to explore the effect of early treatment with Onabotulinumtoxin A in patients with ...","Oslo University Hospital",1,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2019-03-12","Prevention of bladder dysfunction in acute spinal cord injury 
 
 A double-blind, randomized, placebo-controlled study to explore the effect of early treatment with Onabotulinumtoxin A in patients with detrusor overactivity due to spinal cord injury",""
