"proj_id","primary_id","eudract_id","nct_id","eligibility_final","lead_institution","crossreg_final","crossreg_manual_extractor","has_publication","publication_doi","publication_pmid","publication_url","publication_date","identification_step","publication_type","is_prospective","has_summary_results","summary_results_date","registration_date","start_date","completion_date","completion_year","primary_completion_date","primary_completion_year","recruitment_status","phase","enrollment","is_multicentric","is_multinational","main_sponsor","is_controlled","is_randomised","masking","center_size"
"1865","NCT00685672",NA,"NCT00685672","Eligible","Oslo University Hospital","None found","Natasha","Yes","10.1111/aas.13175","29943508","https://doi.org/10.1111/aas.13175","2018-06-25","Linked at the registration","Journal publication","Yes","No",NA,"2008-05-21","2008-08-31","2016-01-31","2016","2016-01-31","2016","Completed","Phase 4",40,"Yes",NA,"Only non-industry","Yes","Yes","No","large"
"1867","NCT00697359",NA,"NCT00697359","Eligible","Odense University Hospital","Irrelevant intervention type",NA,"Yes","10.1111/pace.12916","27418324","https://onlinelibrary.wiley.com/doi/10.1111/pace.12916","2016-08-05","Linked at the registration","Journal publication","Yes","No",NA,"2008-06-11","2008-06-30","2016-06-30","2016","2015-06-30","2015","Completed","Not Applicable",57,"Yes",NA,"Only non-industry","No","No","Yes","large"
"1868","NCT00698672",NA,"NCT00698672","Eligible","Haukeland university hospital","Irrelevant intervention type",NA,"Yes","10.1002/jor.21389","2.1360584E7","https://doi.org/10.1002/jor.21389","2011-02-25","Systematic Google search","Journal publication","No","No",NA,"2008-06-16","2004-11-30","2017-06-30","2017","2007-06-30","2007","Unknown status","Not Applicable",150,"No",NA,"Only non-industry","Yes","Yes","No","large"
"3","2007-006033-14","2007-006033-14","NCT00717938","Eligible","Skane University Hospital","Automatically identified","Cathrine A","Yes","10.1093/annonc/mdx716","29106448","https://linkinghub.elsevier.com/retrieve/pii/S0923753419350495","2018-02-01","Linked at the registration","Journal publication","Yes","Yes","2021-07-22","2008-02-19","2008-04-02","2017-05-05","2017","2017-05-05","2017","Any Completed, none Prematurely Ended","3",390,"Yes","Yes","Only non-industry","No","No","No","small"
"1871","NCT00717938","2007-006033-14","NCT00717938","Cross-registration duplicate","Skane University Hospital","Automatically identified","Cathrine","Yes","10.1093/annonc/mdx716","29106448","https://doi.org/10.1093%2Fannonc%2Fmdx716","2018-02-01","Linked at the registration","Journal publication","No","No",NA,"2008-07-16","2008-06-30","2017-05-31","2017","2017-05-31","2017","Completed","Phase 3",390,"Yes",NA,"Industry or mixed","No","Yes","Yes","small"
"1876","NCT00735176",NA,"NCT00735176","Eligible","Norwegian University of Science and Technology","Irrelevant intervention type",NA,"Yes","10.1007/s00586-016-4922-5","2.8012081E7","https://link.springer.com/article/10.1007/s00586-016-4922-5","2016-12-23","Linked at the registration","Journal publication","Yes","No",NA,"2008-08-13","2008-09-30","2017-08-31","2017","2017-08-31","2017","Completed","Not Applicable",136,"No",NA,"Only non-industry","Yes","Yes","No","large"
"1877","NCT00738647",NA,"NCT00738647","Eligible","Aarhus University","Irrelevant intervention type",NA,"Yes","10.1007/s00784-010-0446-2","2.0644971E7","https://doi.org/10.1007/s00784-010-0446-2","2010-07-20","Systematic Google search","Journal publication","No","No",NA,"2008-08-19","2007-05-31","2019-08-31","2019","2018-08-31","2018","Unknown status","Not Applicable",72,"Yes",NA,"Only non-industry","Yes","Yes","No","large"
"4","2007-007842-36","2007-007842-36","NCT00760682","Eligible","Copenhagen University Hospital","Identified in publication","Cathrine A","Yes","10.1016/j.radonc.2021.11.021","3.4843843E7","https://doi.org/10.1016/j.radonc.2021.11.021","2021-11-26","Systematic Google search","Journal publication","Yes","Yes","2020-01-28","2008-04-21","2008-06-01","2018-12-31","2018","2018-11-04","2018","Any Completed, none Prematurely Ended","0",97,"Yes","Yes","Only non-industry","Yes","Yes","Yes","large"
"1881","NCT00761384",NA,"NCT00761384","Eligible","Skane University Hospital","None found","Natasha","No",NA,NA,NA,NA,NA,NA,"No","No",NA,"2008-09-26","2008-04-30","2016-01-31","2016","2016-01-31","2016","Completed","Phase 1/Phase 2",7,"No",NA,"Industry or mixed","No","No","Yes","small"
"1882","NCT00763594",NA,"NCT00763594","Eligible","Linkoeping University","Irrelevant intervention type",NA,"Yes","10.1080/10503307.2021.1998700","3.4763615E7","https://www.tandfonline.com/doi/full/10.1080/10503307.2021.1998700","2021-11-11","Systematic Google search","Journal publication","Yes","No",NA,"2008-09-30","2008-09-30","2017-12-31","2017","2016-05-31","2016","Terminated","Phase 2",41,"No",NA,"Only non-industry","Yes","Yes","No","large"
"1889","NCT00784355",NA,"NCT00784355","Eligible","Kuopio University Hospital","Irrelevant intervention type",NA,"Yes","10.1097/SLA.0000000000001469","2.658366E7","https://doi.org/10.1097/sla.0000000000001469","2015-11-01","Linked at the registration","Journal publication","Yes","No",NA,"2008-10-31","2009-01-31","2018-12-31","2018","2018-12-31","2018","Unknown status","Not Applicable",200,"No",NA,"Only non-industry","Yes","Yes","Yes","small"
"1892","NCT00803985",NA,"NCT00803985","Eligible","Skane University Hospital","Irrelevant intervention type",NA,"Yes","10.1002/bjs.11230","31162663","https://academic.oup.com/bjs/article/106/7/845/6092920?login=false","2019-06-01","Linked at the registration","Journal publication","No","No",NA,"2008-12-05","2008-04-30","2018-03-31","2018","2017-03-31","2017","Completed","Not Applicable",416,"No",NA,"Only non-industry","Yes","Yes","Yes","small"
"1895","NCT00816049",NA,"NCT00816049","Eligible","Copenhagen University Hospital","None found","Cathrine A","Yes","10.1111/ejh.12979","28983968","https://doi.org/10.1111/ejh.12979","2017-11-09","Systematic Google search","Journal publication","Yes","No",NA,"2008-12-23","2009-01-31","2016-03-02","2016","2016-03-02","2016","Completed","Phase 3",775,"Yes",NA,"Only non-industry","Yes","Yes","Yes","large"
"1897","NCT00819351",NA,"NCT00819351","Eligible","Copenhagen University Hospital","None found","Cathrine A","Yes","10.1111/bjh.12733","2.4428625E7","https://doi.org/10.1111/bjh.12733","2014-01-15","Linked at the registration","Journal publication","Yes","No",NA,"2009-01-08","2009-01-01","2016-03-02","2016","2016-03-02","2016","Completed","Phase 3",650,"Yes",NA,"Only non-industry","Yes","Yes","Yes","large"
"1900","NCT00828997",NA,"NCT00828997","Ineligible","New ineligible","Ignore, ineligible",NA,"Yes","10.1002/art.30580","2.1834061E7","https://onlinelibrary.wiley.com/doi/epdf/10.1002/art.30580","2011-12-01","Linked at the registration","Journal publication","No","No",NA,"2009-01-23","2008-08-31","2018-01-31","2018","2018-01-31","2018","Completed","Phase 4",505,"No",NA,"Only non-industry","No","No","Yes",NA
"1907","NCT00854555",NA,"NCT00854555","Ineligible","New ineligible","Ignore, ineligible",NA,"Yes","10.2340/16501977-2508","3.0483724E7","https://doi.org/10.2340/16501977-2508","2019-02-01","Systematic Google search","Journal publication","No","No",NA,"2009-03-01","2008-08-31","2019-01-31","2019","2018-12-31","2018","Completed","Not Applicable",44,"Yes",NA,"Only non-industry","Yes","Yes","No",NA
"1924","NCT00882856","2009-009215-22","NCT00882856","Eligible","Aarhus University","Identified in manual search","Cathrine","No",NA,NA,NA,NA,NA,NA,"Yes","Yes","2021-11-25","2009-02-23","2009-04-30","2016-12-31","2016","2016-12-31","2016","Completed","Not Applicable",21,"No",NA,"Only non-industry","Yes","Yes","No","large"
"1925","NCT00885729",NA,"NCT00885729","Eligible","Akershus University Hospital","Irrelevant intervention type",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","No",NA,"2009-04-17","2009-04-30","2018-07-31","2018","2011-07-31","2011","Unknown status","Phase 1",50,"No",NA,"Only non-industry","Yes","Yes","No","small"
"10","2008-008920-34","2008-008920-34","NCT00887783","Eligible","Odense University Hospital","Automatically identified","Cathrine A","Yes","10.1016/j.radonc.2017.03.017","2.8410809E7","https://pubmed.ncbi.nlm.nih.gov/28410809/","2017-04-11","Linked at the registration","Journal publication","Yes","Yes","2020-03-27","2009-01-21","2009-05-01","2017-07-21","2017","2016-12-31","2016","Any Completed, none Prematurely Ended","2",117,"Yes","No","Only non-industry","Yes","Yes","Yes","large"
"1230","NCT00887783","2008-008920-34","NCT00887783","Cross-registration duplicate","Odense University Hospital","Automatically identified","Cathrine","Yes","10.1016/j.radonc.2017.03.017","28410809","https://doi.org/10.1016/j.radonc.2017.03.017","2017-04-11","Systematic Google search","Journal publication","Yes","Yes","2017-07-21","2009-04-23","2009-05-01","2016-09-01","2016","2016-09-01","2016","Completed","Phase 2",117,"Yes",NA,"Only non-industry","Yes","Yes","Yes","large"
"587","NCT00888511","2008-008921-30","NCT00888511","Cross-registration duplicate","Odense University Hospital","Identified in manual search","Samruddhi","No",NA,NA,NA,NA,NA,NA,"Yes","Yes","2017-04-06","2009-04-24","2009-05-31","2017-02-04","2016","2016-05-31","2016","Completed","Phase 2",15,"Yes",NA,"Only non-industry","No","No","Yes","large"
"11","2008-008921-30","2008-008921-30","NCT00888511","Eligible","Odense University Hospital","Identified in manual search","Samruddhi","No",NA,NA,NA,NA,NA,NA,"Yes","Yes","2017-04-06","2009-01-22","2009-06-18","2017-02-04","2017","2016-05-31","2016","Any Completed, none Prematurely Ended","2",15,"Yes","No","Only non-industry","Yes","No","Yes","large"
"1936","NCT00895388",NA,"NCT00895388","Eligible","University Hospital of North Norway","Irrelevant intervention type",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","No",NA,"2009-05-07","2009-05-31","2019-12-02","2019","2019-11-30","2019","Completed","Not Applicable",64,"No",NA,"Industry or mixed","Yes","Yes","Yes","small"
"588","NCT00904813",NA,"NCT00904813","Eligible","Karolinska Institutet","Irrelevant intervention type",NA,"Yes","10.1002/bjs.6914","20155787","https://academic.oup.com/bjs/article/97/4/580/6150254?login=false","2010-04-01","Linked at the registration","Journal publication","No","Yes","2021-01-31","2009-05-19","1998-11-30","2018-03-31","2018","2015-02-28","2015","Completed","Not Applicable",840,"Yes",NA,"Only non-industry","Yes","Yes","Yes","large"
"1856","NCT00908102",NA,"NCT00908102","Eligible","University of Helsinki","Irrelevant intervention type",NA,"Yes","10.1136/oem.2009.054312","2.1602539E7","http://dx.doi.org/10.1136/oem.2009.054312","2011-05-20","Linked at the registration","Journal publication","No","No",NA,"2009-05-19","2001-09-30","2016-12-31","2016","2008-09-30","2008","Unknown status","Not Applicable",505,"No",NA,"Only non-industry","Yes","Yes","No","small"
"731","NCT00909077",NA,"NCT00909077","Eligible","Herlev and Gentofte Hospital","None found","Delwen","Yes","10.1182/blood-2012-09-455691","2.3293082E7","https://ashpublications.org/blood/article/121/11/1976/31053/Rituximab-and-dexamethasone-vs-dexamethasone","2013-01-04","Linked at the registration","Journal publication","No","No",NA,"2009-05-26","2004-08-31","2017-08-01","2017","2012-06-01","2012","Completed","Phase 3",155,"Yes",NA,"Only non-industry","Yes","Yes","Yes","large"
"734","NCT00914238",NA,"NCT00914238","Eligible","University of Copenhagen;Mental health services in the Capital Region of Denmark","Irrelevant intervention type",NA,"Yes","10.4088/JCP.13m08814","2.5650684E7","https://doi.org/10.4088/JCP.13m08814","2015-01-01","Linked at the registration","Journal publication","Yes","No",NA,"2009-05-28","2009-07-31","2016-10-31","2016","2015-06-30","2015","Completed","Not Applicable",400,"Yes",NA,"Only non-industry","Yes","Yes","Yes","large"
"739","NCT00921765",NA,"NCT00921765","Eligible","Oslo University Hospital","None found","Cathrine","No",NA,NA,NA,NA,NA,NA,"Yes","No",NA,"2009-06-15","2009-12-31","2017-12-31","2017","2017-12-31","2017","Terminated","Phase 4",3,"No",NA,"Only non-industry","Yes","Yes","No","large"
"846","NCT00957125","2007-005858-23","NCT00957125","Eligible","Karolinska University Hospital","Identified in manual search","Samruddhi","Yes","10.1073/pnas.1703431114","2.9078273E7","https://doi.org/10.1073/pnas.1703431114","2017-10-23","Linked at the registration","Journal publication","Yes","No",NA,"2007-12-07","2008-09-30","2016-11-30","2016","2011-11-30","2011","Unknown status","Phase 2",151,"Yes",NA,"Only non-industry","No","No","Yes","large"
"877","NCT00963404",NA,"NCT00963404","Eligible","Aarhus University","Irrelevant intervention type",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","No",NA,"2009-08-20","2009-08-31","2017-01-31","2017","2017-01-31","2017","Completed","Phase 1/Phase 2",19,"Yes",NA,"Only non-industry","No","No","Yes","large"
"878","NCT00963534","2008-007246-60","NCT00963534","Eligible","Skane University Hospital","Identified in manual search","Natasha","Yes","10.1182/blood-2016-03-704023","2.7354719E7","https://doi.org/10.1182/blood-2016-03-704023","2016-06-27","Linked at the registration","Journal publication","Yes","Yes","2021-06-03","2009-04-24","2009-09-30","2017-04-12","2017","2017-04-12","2017","Completed","Phase 1/Phase 2",51,"Yes",NA,"Industry or mixed","No","No","Yes","small"
"879","NCT00964457","2009-010976-94","NCT00964457","Eligible","Herlev and Gentofte Hospital","Identified in manual search","Delwen","Yes","10.1038/s41416-021-01377-y","3.3837301E7","https://doi.org/10.1038/s41416-021-01377-y","2021-04-09","Systematic Google search","Journal publication","Yes","Yes","2019-12-18","2009-06-08","2009-08-01","2017-01-11","2017","2017-01-11","2017","Unknown status","Phase 2",52,"No",NA,"Only non-industry","Yes","No","Yes","large"
"880","NCT00970710",NA,"NCT00970710","Eligible","University of Tampere","Irrelevant intervention type",NA,"Yes","10.1186/1471-2431-13-80","2.3688259E7","https://bmcpediatr.biomedcentral.com/articles/10.1186/1471-2431-13-80","2013-05-20","Linked at the registration","Journal publication","No","No",NA,"2009-09-01","2009-01-01","2017-01-31","2017","2017-01-31","2017","Completed","Not Applicable",185,"No",NA,"Only non-industry","No","No","Yes","small"
"6","2008-003527-24","2008-003527-24","NCT00979641","Eligible","Tampere University Hospital","Identified in publication","Cathrine A","Yes","10.21873/anticanres.11241","27919965","doi.org/10.21873/anticanres.11241","2016-12-01","Cross-reference","Journal publication","Yes","No",NA,"2008-10-01","2009-01-01","2016-03-08","2016",NA,NA,"Any Completed, none Prematurely Ended","2",65,"Yes","Yes","Only non-industry","No","No","No","small"
"862","NCT00982722","2007-003691-19","NCT00982722","Eligible","Karolinska University Hospital","Identified in manual search","Samruddhi","Yes","10.1002/jbmr.2102","2.4115138E7","https://pubmed.ncbi.nlm.nih.gov/24115138/","2014-04-01","Linked at the registration","Journal publication","Yes","No",NA,"2007-10-16","2008-04-30","2018-05-04","2018","2018-05-04","2018","Completed","Not Applicable",150,"Yes",NA,"Only non-industry","Yes","Yes","No","large"
"888","NCT00986193",NA,"NCT00986193","Eligible","Aarhus University Hospital","Irrelevant intervention type",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"2009-09-25","2008-12-31","2016-04-30","2016","2011-04-30","2011","Terminated","Not Applicable",72,"No",NA,"Only non-industry","Yes","Yes","Yes","large"
"889","NCT00986791",NA,"NCT00986791","Eligible","Bispebjerg and Frederiksberg Hospital","Irrelevant intervention type",NA,"Yes","10.2340/17453674.2022.2482","3.5417027E7","http://dx.doi.org/10.2340/17453674.2022.2482","2022-04-12","Systematic Google search","Journal publication","Yes","No",NA,"2009-09-29","2010-05-31","2018-03-31","2018","2016-01-01","2016","Completed","Not Applicable",70,"Yes",NA,"Only non-industry","Yes","Yes","No","large"
"924","NCT01015365",NA,"NCT01015365","Eligible","Aarhus University","Irrelevant intervention type",NA,"Yes","10.1016/j.arth.2017.11.024","2.9221839E7","https://doi.org/10.1016/j.arth.2017.11.024","2017-11-22","Systematic Google search","Journal publication","Yes","No",NA,"2009-11-06","2009-11-30","2017-11-30","2017","2016-10-31","2016","Completed","Not Applicable",56,"Yes",NA,"Only non-industry","No","No","Yes","large"
"933","NCT01021774",NA,"NCT01021774","Eligible","Akershus University Hospital","Irrelevant intervention type",NA,"Yes","10.1002/bjs.10549","2.8489253E7","https://academic.oup.com/bjs/article/104/9/1160/6095027?login=false","2017-05-10","Linked at the registration","Journal publication","Yes","No",NA,"2009-11-27","2009-11-30","2016-06-30","2016","2015-07-31","2015","Completed","Not Applicable",94,"No",NA,"Only non-industry","Yes","Yes","No","small"
"942","NCT01033188",NA,"NCT01033188","Eligible","Oslo University Hospital","Irrelevant intervention type",NA,"Yes","10.1007/s00167-016-4204-0",NA,"https://link.springer.com/article/10.1007/s00167-016-4204-0","2016-06-21","Systematic Google search","Journal publication","Yes","No",NA,"2009-12-15","2010-01-31","2017-06-20","2017","2017-06-20","2017","Completed","Not Applicable",120,"No",NA,"Only non-industry","Yes","Yes","No","large"
"943","NCT01033903",NA,"NCT01033903","Ineligible","New ineligible","Ignore, ineligible",NA,"Yes","10.1002/uog.18940","2.9072372E7","https://obgyn.onlinelibrary.wiley.com/doi/10.1002/uog.18940","2017-12-05","Linked at the registration","Journal publication","No","No",NA,"2009-12-16","2008-10-01","2018-03-01","2018","2015-12-31","2015","Completed","Not Applicable",190,"No",NA,"Only non-industry","Yes","Yes","Yes",NA
"14","2009-012203-26","2009-012203-26",NA,"Eligible","Oulu University Hospital","None found","Cathrine A","Yes","10.1056/NEJMoa1501917","2.6465983E7","https://www.nejm.org/doi/10.1056/NEJMoa1501917","2015-10-15","Linked at the registration","Journal publication","Yes","Yes","2022-03-25","2009-06-22","2010-04-10","2016-07-31","2016",NA,NA,"Any Completed, none Prematurely Ended","3",863,"Yes","Yes","Only non-industry","Yes","Yes","No","small"
"948","NCT01042249",NA,"NCT01042249","Eligible","Copenhagen University Hospital","Irrelevant intervention type",NA,"Yes","10.1179/1074935714Z.0000000019","2.5779892E7","https://doi.org/10.1179/1074935714Z.0000000019","2015-03-17","Systematic Google search","Journal publication","Yes","No",NA,"2010-01-04","2010-02-28","2017-04-26","2017","2017-04-26","2017","Completed","Not Applicable",31,"No",NA,"Only non-industry","Yes","Yes","No","large"
"951","NCT01047462",NA,"NCT01047462","Eligible","Akershus University Hospital","Irrelevant intervention type",NA,"Yes","10.1001/jama.2015.12076","2.6441181E7","https://doi.org/10.1001/jama.2015.12076","2015-10-06","Linked at the registration","Journal publication","Yes","No",NA,"2010-01-12","2010-01-31","2016-12-31","2016","2014-10-31","2014","Completed","Not Applicable",150,"No",NA,"Industry or mixed","Yes","Yes","Yes","small"
"567","NCT01064375","2009-009863-75","NCT01064375","Eligible","Karolinska University Hospital","Identified in manual search","Samruddhi","Yes","10.15761/GVI.1000125",NA,"https://www.oatext.com/DNA-immunization-targeting-carcinoembryonic-antigen-in-colorectal-cancer-patients.php","2017-04-29","Systematic Google search","Journal publication","No","No",NA,"2009-06-24","2009-12-31","2016-08-31","2016","2012-03-31","2012","Completed","Phase 1/Phase 2",16,"No",NA,"Industry or mixed","No","No","Yes","large"
"963","NCT01091181",NA,"NCT01091181","Ineligible",NA,"Ignore, ineligible",NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"2010-03-19","2009-10-31","2017-10-31","2017","2016-12-01","2016","Completed","Not Applicable",122,"No",NA,"Only non-industry","Yes","Yes","No",NA
"964","NCT01091545",NA,"NCT01091545","Ineligible","New ineligible","Ignore, ineligible",NA,"Yes","10.1016/S1470-2045(18)30521-7","3.0322817E7","https://doi.org/10.1016/S1470-2045(18)30521-7","2018-10-12","Linked at the registration","Journal publication","No","No",NA,"2010-03-12","2010-02-01","2019-09-30","2019","2017-12-31","2017","Completed","Not Applicable",15000,"No",NA,"Only non-industry","No","No","Yes",NA
"967","NCT01103219","2010-020464-38","NCT01103219","Eligible","University of Oslo","Identified in publication","Cathrine A","Yes","10.1016/j.clnu.2012.09.004","2.3043722E7","https://doi.org/10.1016/j.clnu.2012.09.004","2012-09-21","Linked at the registration","Journal publication","Yes","No",NA,"2010-04-12","2010-08-31","2017-05-31","2017","2012-12-31","2012","Terminated","Phase 3",50,"Yes",NA,"Only non-industry","Yes","Yes","Yes","small"
"968","NCT01105819",NA,"NCT01105819","Ineligible","New ineligible","Ignore, ineligible",NA,"Yes","10.1186/s13054-018-2209-4","30368249","https://doi.org/10.1186%2Fs13054-018-2209-4","2018-10-28","Linked at the registration","Journal publication","Yes","No",NA,"2010-04-09","2010-04-30","2018-01-31","2018","2016-01-31","2016","Completed","Not Applicable",100,"Yes",NA,"Industry or mixed","Yes","Yes","Yes",NA
